Source,Target,Beziehung,Gewicht,Datum
3,11,Bundesbrüder,2,
3,113,Bundesbrüder,2,
3,45,Gemeinsamer Umzug nach Heidelberg,2,
43,123,Leibfux,3,
73,80,Mittäterschaft beim Angriff,2,14.06.2020
73,71,Kommunikation,1,
43,73,Veranstaltung,1,
103,80,Bundesbrüder,2,
103,76,Bundesbrüder,2,
103,42,Kommunikation,1,
82,99,Zusammenarbeit,3,
68,113,Leibfux,3,
76,89,Leibbursche,3,
32,42,Kommunikation,1,
6,124,Leibbursche,3,
124,104,Kommunikation,1,
104,39,Kommunikation,1,
112,3,Veranstaltung,1,
112,113,Veranstaltung,1,
80,3,Leibfux,3,
65,112,Leibbursche,3,
65,133,Leibbursche,3,
65,42,Leibbursche,3,
65,3,Leibbursche,3,
123,11,Leibbursche,3,
11,42,Kommunikation,1,
45,42,Kommunikation,1,
45,3,WG,4,
45,133,Mittäterschaft beim Angriff,2,
